"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3, C4, C11, C13, C19, C20, C21, C22, C23, C24, C25","11","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C5","1","10n","Capacitor_SMD:C_0805_2012Metric","","",""
"4","C6, C9, C12","3","1n","Capacitor_SMD:C_0805_2012Metric","","",""
"5","C7, C8, C10","3","470n box","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","",""
"6","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"7","D3, D14","2","1N4148","Diode_SMD:D_SOD-323_HandSoldering","","",""
"8","D4, D5, D6, D7, D8, D9, D10, D11, D12, D13","10","LED_GREEN","LED_THT:LED_D3.0mm","","",""
"9","FB1, FB2","2","70 Ohm","Inductor_SMD:L_0805_2012Metric","","Mouser","81-BLM21SP700BH1D"
"10","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"11","J2","1","cv","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"12","J3","1","clock","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"13","J4","1","out","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"14","J5","1","noise","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"15","J6, J7","2","Conn_02x08_Odd_Even","Eurorack:PinHeader_2x08_P2.54mm_Vertical","","Tayda","A-2956"
"16","J8","1","pulse","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"17","Q1","1","BC547","Package_TO_SOT_THT:TO-92_Inline_Wide","","Mouser","637-BC547C"
"18","Q2","1","BCM847","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM847DS135"
"19","R3, R4, R10, R18, R25, R26, R27, R34","8","10K","Resistor_SMD:R_0805_2012Metric","","",""
"20","R5, R7, R11, R17, R21, R29","6","100K","Resistor_SMD:R_0805_2012Metric","","",""
"21","R6","1","51K","Resistor_SMD:R_0805_2012Metric","","",""
"22","R8","1","8.2K","Resistor_SMD:R_0805_2012Metric","","",""
"23","R9","1","470","Resistor_SMD:R_0805_2012Metric","","",""
"24","R12","1","3.9K","Resistor_SMD:R_0805_2012Metric","","",""
"25","R13","1","5.1K","Resistor_SMD:R_0805_2012Metric","","",""
"26","R14","1","3.3K","Resistor_SMD:R_0805_2012Metric","","",""
"27","R15, R16","2","1.6K","Resistor_SMD:R_0805_2012Metric","","",""
"28","R19, R32","2","470K","Resistor_SMD:R_0805_2012Metric","","",""
"29","R20, R22, R24","3","1K","Resistor_SMD:R_0805_2012Metric","","",""
"30","R23, R33","2","2.2K","Resistor_SMD:R_0805_2012Metric","","",""
"31","R28","1","47K","Resistor_SMD:R_0805_2012Metric","","",""
"32","R30","1","68K","Resistor_SMD:R_0805_2012Metric","","",""
"33","R31","1","15K","Resistor_SMD:R_0805_2012Metric","","",""
"34","RN1","1","2.2K","Resistor_THT:R_Array_SIP9","","Mouser","652-4609X-1LF-2.2K"
"35","RV1, RV2","2","B50K","Eurorack:Potentiometer_RV16AF-41-15R1","","",""
"36","RV3","1","5K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"37","SW1","1","SW_Rotary12","Eurorack:Switch_Rotary_NKK_MRK_112","","Mouser","633-MRK112-BA"
"38","SW2","1","SW_SPDT_MSM","Eurorack:Switch_SPDT_1M_Solder_Lug","","Tayda","A-6099"
"39","U1, U5, U14","3","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","595-TL072CDR"
"40","U2","1","DAC0800_SOIC","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","Mouser","926-DAC0800LCMX/NOPB"
"41","U3","1","TL431DBZ","Package_TO_SOT_SMD:SOT-23","","Mouser","595-TL431BCDBZTG4"
"42","U4","1","4016","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","Mouser","595-CD4016BPWR"
"43","U6, U7","2","4015","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","","Mouser","595-CD4015BPWR"
"44","U8, U11","2","L78L09_SOT89","Package_TO_SOT_SMD:SOT-89-3","","Mouser","511-L78L09ACU"
"45","U9, U10","2","4050","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","","Mouser","595-CD4050BPWR"
"46","U12, U13","2","4081","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","Mouser","595-CD4081BPWR"
